id,title,genre,release_year,content_rating,tagline,director
55031,Judgment at Nuremberg,Drama,1961,NOT RATED,The event the world will never forget.,Stanley Kramer
119488,L.A. Confidential,Crime,1997,R,Everything is suspect... Everyone is for sale... And nothing is what it seems.,Curtis Hanson
56172,Lawrence of Arabia,Adventure,1962,PG,A Mighty Motion Picture Of Action And Adventure!,David Lean
978762,Mary and Max,Animation,2009,NOT RATED,Sometimes perfect strangers make the best friends.,Adam Elliot
209144,Memento,Mystery,2000,R,Some memories are best forgotten.,Christopher Nolan
71853,Monty Python and the Holy Grail,Adventure,1975,PG,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,Terry Gilliam; Terry Jones
404254,My Sassy Girl,Comedy,2008,NOT RATED,She's Beautiful; Smart; Funny And Totally Crazy.,Yann Samuell
87843,Once Upon a Time in America,Crime,1984,R,Crime; passion and lust for power - Sergio Leone's explosive saga of gangland America.,Sergio Leone
155975,Psycho,Horror,1998,R,A new vision of a classic nightmare.,Gus Van Sant
54215,Psycho,Horror,1960,R,The master of suspense moves his cameras into the icy blackness of the unexplored!,Alfred Hitchcock
110912,Pulp Fiction,Crime,1994,R,Just because you are a character doesn't mean you have character.,Quentin Tarantino
81398,Raging Bull,Biography,1980,R,An emotionally self-destructive boxer's journey through life; as the violence and temper that leads him to the top in the ring; destroys his life outside it.,Martin Scorsese
82971,Raiders of the Lost Ark,Action,1981,PG,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Steven Spielberg
166322,Rear Window,Mystery,1998,APPROVED,Who's watching who?,Jeff Bleckner
180093,Requiem for a Dream,Drama,2000,R,,Darren Aronofsky
105236,Reservoir Dogs,Crime,1992,R,Every dog has his day.,Quentin Tarantino
1979320,Rush,Action,2013,R,Everyone's driven by something.,Ron Howard
120815,Saving Private Ryan,Action,1998,R,The mission is a man.,Steven Spielberg
86250,Scarface,Crime,1983,R,The world is yours...,Brian De Palma
108052,Schindler's List,Biography,1993,R,Whoever saves one life; saves the world entire.,Steven Spielberg
114369,Se7en,Drama,1995,R,Seven deadly sins. Seven ways to die.,David Fincher
76759,Star Wars,Action,1977,PG,A long time ago in a galaxy far; far away...,George Lucas
75314,Taxi Driver,Crime,1976,R,On every street in every city; there's a nobody who dreams of being a somebody.,Martin Scorsese
103064,Terminator 2: Judgment Day,Action,1991,R,It's nothing personal.,James Cameron
53604,The Apartment,Comedy,1960,APPROVED,Movie-wise; there has never been anything like it - laugh-wise; love-wise; or otherwise-wise!,Billy Wilder
848228,The Avengers,Action,2012,PG-13,Some assembly required.,Joss Whedon
118661,The Avengers,Action,1998,PG-13,Saving the World in Style.,Jeremiah S. Chechik
118715,The Big Lebowski,Comedy,1998,R,They figured he was a lazy time wasting slacker. They were right.,Joel Coen
468569,The Dark Knight,Action,2008,PG-13,Why So Serious?,Christopher Nolan
1345836,The Dark Knight Rises,Action,2012,PG-13,The Legend Ends,Christopher Nolan
407887,The Departed,Crime,2006,R,Lies. Betrayal. Sacrifice. How far will you take it?,Martin Scorsese
68646,The Godfather,Crime,1972,R,An offer you can't refuse.,Francis Ford Coppola
71562,The Godfather: Part II,Crime,1974,R,I don't feel I have to wipe everybody out; Tom. Just my enemies.,Francis Ford Coppola
57115,The Great Escape,Adventure,1963,UNRATED,Put a fence in front of these men...and they'll climb it...,John Sturges
120689,The Green Mile,Crime,1999,R,Miracles do happen.,Frank Darabont
219854,The Kid,Comedy,2000,NOT RATED,Nobody ever grows up quite like they imagined.,Jon Turteltaub
110357,The Lion King,Animation,1994,G,Life's greatest adventure is finding your place in the Circle of Life.,Roger Allers; Rob Minkoff
120737,The Lord of the Rings: The Fellowship of the Ring,Adventure,2001,PG-13,One ring to rule them all,Peter Jackson
167260,The Lord of the Rings: The Return of the King,Adventure,2003,PG-13,The eye of the enemy is moving.,Peter Jackson
167261,The Lord of the Rings: The Two Towers,Adventure,2002,PG-13,A New Power Is Rising.,Peter Jackson
133093,The Matrix,Action,1999,R,Welcome to the Real World.,Lilly Wachowski; Lana Wachowski
253474,The Pianist,Biography,2002,R,Music was his passion. Survival was his masterpiece.,Roman Polanski
482571,The Prestige,Drama,2006,PG-13,Are You Watching Closely?,Christopher Nolan
93779,The Princess Bride,Adventure,1987,PG,It's as real as the feelings you feel.,Rob Reiner
111161,The Shawshank Redemption,Crime,1994,R,Fear can hold you prisoner. Hope can set you free.,Frank Darabont
118460,The Shining,Horror,1997,R,110 empty hotel rooms - filled with horror!,Mick Garris
81505,The Shining,Horror,1980,R,A masterpiece of modern horror.,Stanley Kubrick
102926,The Silence of the Lambs,Drama,1991,R,To enter the mind of a killer she must challenge the mind of a madman.,Jonathan Demme
167404,The Sixth Sense,Drama,1999,PG-13,Not every gift is a blessing.,M. Night Shyamalan
70735,The Sting,Comedy,1973,PG,...all it takes is a little Confidence.,George Roy Hill
905372,The Thing,Horror,2011,R,It's Not Human. Yet.,Matthijs van Heijningen Jr.
114814,The Usual Suspects,Crime,1995,R,Five Criminals. One Line Up. No Coincidence.,Bryan Singer
993846,The Wolf of Wall Street,Biography,2013,R,EARN. SPEND. PARTY.,Martin Scorsese
56592,To Kill a Mockingbird,Drama,1962,NOT RATED,The most beloved Pulitzer Prize book now comes vividly alive on the screen!,Robert Mulligan
114709,Toy Story,Animation,1995,G,The adventure takes off!,John Lasseter
435761,Toy Story 3,Animation,2010,G,No toy gets left behind.,Lee Unkrich
117951,Trainspotting,Drama,1996,R,Choose life.,Danny Boyle
1049413,Up,Animation,2009,PG,Fly Up to Venezuela,Bob Peterson; Pete Docter
434409,V for Vendetta,Action,2005,R,People should not be afraid of their governments. Governments should be afraid of their people.,James McTeigue
1291584,Warrior,Drama,2011,PG-13,Fight for Family,Gavin O'Connor
2582802,Whiplash,Drama,2014,R,The road to greatness can take you to the edge.,Damien Chazelle
